 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"130083 Caapiranga";-;-;1;1;-;-;-;-;-;2;4
"130090 Canutama";-;-;-;1;1;1;1;-;1;2;7
"130100 Carauari";2;1;-;1;1;1;3;2;1;6;18
"130110 Careiro";6;8;8;6;4;4;7;8;5;-;56
"130115 Careiro da Várzea";1;1;-;3;1;1;1;-;1;1;10
"130120 Coari";3;5;8;6;4;7;-;6;4;5;48
"130130 Codajás";1;1;2;3;-;1;-;2;-;-;10
"130140 Eirunepé";1;1;4;4;6;-;3;1;2;1;23
"130150 Envira";1;1;-;-;1;1;-;-;2;2;8
"130160 Fonte Boa";1;-;1;3;2;1;-;2;-;-;10
"130165 Guajará";-;2;-;-;-;-;-;-;1;1;4
"130170 Humaitá";7;7;5;8;4;9;10;9;2;6;67
"130180 Ipixuna";-;-;-;-;-;-;-;1;1;4;6
"130185 Iranduba";17;13;13;12;9;12;8;14;10;8;116
"130190 Itacoatiara";5;17;11;26;15;6;21;20;24;15;160
"130195 Itamarati";1;-;1;-;-;-;-;-;-;-;2
"130200 Itapiranga";1;2;2;6;-;4;-;3;2;2;22
"130210 Japurá";-;1;-;1;-;-;-;-;1;-;3
"130220 Juruá";-;-;-;-;1;1;-;-;-;-;2
"130230 Jutaí";-;-;-;1;1;-;2;1;1;-;6
"130240 Lábrea";4;2;2;5;-;3;2;2;5;14;39
"130250 Manacapuru";14;8;13;20;18;23;9;9;12;8;134
"130255 Manaquiri";3;1;1;2;1;-;1;1;1;1;12
"130260 Manaus";351;373;323;333;327;315;292;274;282;280;3150
"130270 Manicoré";1;6;2;3;8;2;5;3;9;4;43
"130280 Maraã";-;3;-;-;-;2;-;-;2;-;7
"130290 Maués";4;3;2;4;3;2;6;-;2;6;32
"130300 Nhamundá";-;-;1;-;3;-;-;1;-;2;7
"130310 Nova Olinda do Norte";1;4;1;2;1;2;2;1;5;-;19
"130320 Novo Airão";3;2;3;-;3;4;4;4;3;3;29
"130330 Novo Aripuanã";3;2;1;1;-;3;-;3;4;6;23
"130340 Parintins";5;6;14;17;22;11;15;9;16;14;129
"130350 Pauini";-;-;1;1;1;-;-;-;3;1;7
"130353 Presidente Figueiredo";9;20;12;12;6;5;8;6;11;8;97
"130356 Rio Preto da Eva";10;10;3;2;5;6;11;6;6;11;70
"130360 Santa Isabel do Rio Negro";-;2;3;1;3;-;1;2;-;-;12
"130370 Santo Antônio do Içá";1;-;-;2;-;1;1;1;-;-;6
"130380 São Gabriel da Cachoeira";4;2;9;6;5;4;11;9;6;16;72
"130390 São Paulo de Olivença";-;3;8;-;3;1;2;-;2;1;20
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-;2;1;-;3
"130400 Silves";1;2;3;3;1;-;1;-;2;3;16
"130406 Tabatinga";1;5;5;2;2;2;4;1;7;4;33
"130410 Tapauá";-;2;1;1;6;-;1;-;-;-;11
"130420 Tefé";4;6;7;7;3;3;7;8;6;2;53
"130423 Tonantins";-;1;1;-;-;-;1;-;-;-;3
"130426 Uarini";-;-;-;2;-;2;-;-;-;-;4
"130430 Urucará";3;2;3;-;3;2;2;2;1;-;18
"130440 Urucurituba";-;-;-;3;-;1;-;1;1;-;6
"140005 Alto Alegre";6;2;6;6;7;5;3;1;1;6;43
"140002 Amajari";3;3;2;2;1;3;4;2;1;1;22
"140010 Boa Vista";96;97;94;119;95;102;74;92;57;77;903
"140015 Bonfim";4;4;5;1;5;6;4;7;3;7;46
"140017 Cantá";4;9;10;3;5;7;9;10;6;3;66
"140020 Caracaraí";6;5;8;8;5;7;5;2;3;2;51
"140023 Caroebe";1;-;1;1;1;1;-;2;2;2;11
"140028 Iracema";8;3;1;1;4;1;-;1;2;-;21
"140030 Mucajaí";1;4;6;3;5;8;3;6;3;5;44
"140040 Normandia";1;2;-;-;2;1;1;2;3;3;15
"140045 Pacaraima";6;1;1;-;2;2;2;1;3;5;23
"140047 Rorainópolis";9;7;15;8;16;20;2;9;13;7;106
"140050 São João da Baliza";-;-;1;1;4;5;1;1;-;2;15
"140060 São Luiz";2;-;1;2;-;3;1;3;1;3;16
"140070 Uiramutã";-;-;-;-;-;1;1;-;-;1;3
"150010 Abaetetuba";11;14;17;10;8;15;17;22;14;9;137
"150013 Abel Figueiredo";2;1;10;3;3;2;6;1;4;7;39
"150020 Acará";-;1;11;16;9;13;7;14;8;9;88
"150030 Afuá";1;1;1;-;-;2;3;-;1;2;11
"150034 Água Azul do Norte";5;3;2;5;5;4;6;4;7;6;47
